listing_id,title,model_family,generation_number,is_pro,storage_gb_numeric,storage_category,storage_options_gb,storage_flag_corrected,condition,condition_group,price,price_bucket,price_per_gb,wasPrice,price_discount_pct,has_discount,available,available_disclosed,sold,sold_disclosed,seller,itemLocation,us_state,lastUpdated,date_disclosed,is_bundle_listing,is_suspicious_price,location,iphone_type,generation_group,market_density,price_gap,top_seller_dominance
324,Apple iPhone 14 Pro Max Factory Unlocked Space Black 128GB (Issues) #24254,iPhone 14 Pro Max,14,True,128.0,128GB,128GB,False,For Parts Or Not Working,Damaged,349.99,$200-399,2.734296875,,,False,0.0,False,0.0,False,Seller 057,"Oviedo, Florida, United States",FL,,False,False,False,FL,Pro,Modern (14+),30,2750.0,8.085106382978724
325,Apple iPhone 14 Factory Unlocked Yellow 128GB #24143,iPhone 14,14,False,128.0,128GB,128GB,False,Used,Second-hand,279.99,$200-399,2.187421875,,,False,0.0,False,0.0,False,Seller 057,"Oviedo, Florida, United States",FL,,False,False,False,FL,Standard,Modern (14+),27,1329.99,21.492537313432834
326,Apple iPhone 14 Pro Max 256GB Factory Unlocked Space Black (LCD Quality) #24188,iPhone 14 Pro Max,14,True,256.0,256GB,256GB,False,Used,Second-hand,429.99,$400-599,1.6796484375,,,False,0.0,False,0.0,False,Seller 057,"Oviedo, Florida, United States",FL,,False,False,False,FL,Pro,Modern (14+),30,2750.0,8.085106382978724
327,Apple iPhone 14 Pro Max Factory Unlocked Deep Purple 128GB #24255,iPhone 14 Pro Max,14,True,128.0,128GB,128GB,False,Used,Second-hand,439.99,$400-599,3.437421875,,,False,0.0,False,0.0,False,Seller 057,"Oviedo, Florida, United States",FL,,False,False,False,FL,Pro,Modern (14+),30,2750.0,8.085106382978724
328,Apple iPhone 14 Pro Max 256GB Factory Unlocked Deep Purple #23434,iPhone 14 Pro Max,14,True,256.0,256GB,256GB,False,Used,Second-hand,469.99,$400-599,1.8358984375,,,False,0.0,False,0.0,False,Seller 057,"Oviedo, Florida, United States",FL,,False,False,False,FL,Pro,Modern (14+),30,2750.0,8.085106382978724
329,Apple iPhone 13 Factory Unlocked White / Starlight 128GB (Cam Lens Chip) #23498,iPhone 13,13,False,128.0,128GB,128GB,False,Used,Second-hand,219.99,$200-399,1.718671875,,,False,0.0,False,0.0,False,Seller 057,"Oviedo, Florida, United States",FL,,False,False,False,FL,Standard,Mid-Gen (12-13),28,4935.0,20.909090909090907
330,Apple iPhone 14 Pro Max Factory Unlocked Space Black 128GB #23618,iPhone 14 Pro Max,14,True,128.0,128GB,128GB,False,Used,Second-hand,429.99,$400-599,3.359296875,,,False,0.0,False,0.0,False,Seller 057,"Oviedo, Florida, United States",FL,,False,False,False,FL,Pro,Modern (14+),30,2750.0,8.085106382978724
331,SALE Apple iPhone 17 Pro Max - 2 TB - Deep Blue (Unlocked),iPhone 17 Pro Max,17,True,2048.0,2048GB,2048GB,False,New,Second-hand,649.0,$600-899,0.31689453125,,,False,4.0,True,1.0,True,Seller 398,"New Orleans, Louisiana, United States",LA,,False,False,False,LA,Pro,Modern (14+),1,2710.0,8.176100628930817
332,Apple iPhone 12 Pro Max 256GB Factory Unlocked White / Silver (Back Crack) #3589,iPhone 12 Pro Max,12,True,256.0,256GB,256GB,False,For Parts Or Not Working,Damaged,279.99,$200-399,1.0937109375,,,False,0.0,False,0.0,False,Seller 057,"Oviedo, Florida, United States",FL,,False,False,False,FL,Pro,Mid-Gen (12-13),21,4867.01,4.6875
333,Apple iPhone 13 Factory Unlocked Pink 128GB (Lens Cracked) #23499,iPhone 13,13,False,128.0,128GB,128GB,False,For Parts Or Not Working,Damaged,199.99,<$200,1.562421875,,,False,0.0,False,0.0,False,Seller 057,"Oviedo, Florida, United States",FL,,False,False,False,FL,Standard,Mid-Gen (12-13),28,4935.0,20.909090909090907
